design,range_km,mtom_kg,energy_wh,cruise_speed_m_s,power_cruise_kw,power_hover_kw,rotor_radius_m
Hexarotor,10.0,5.510413767180706,55.129052620610096,16.645523287962845,0.23587237772479644,0.3824356691080053,0.23988751332918454
QBiT,10.0,5.870976035523868,74.41839052897086,38.979407304746765,0.6454260976644002,0.6233436274055227,0.22872897936094014
Hexarotor,20.0,5.936567173054598,95.47221451749083,16.670135336108945,0.25448953826097676,0.41262086121998315,0.2486231797069159
QBiT,20.0,6.3185365765604935,101.64457743887803,34.47277690181318,0.43516957541916435,0.7417635179427184,0.21460633639208182
Hexarotor,30.0,6.434333384712014,142.58370769970668,16.695729075833952,0.27625132517594847,0.4479046874039451,0.2584398319326268
QBiT,30.0,6.7145382788646035,126.39476874581186,32.22508602316131,0.3576339477502606,0.8432461398918054,0.2068012329841692
Hexarotor,40.0,7.0234463220725205,198.3270714759463,16.722433705455376,0.302026585142729,0.4896958204571107,0.26958065383091695
QBiT,40.0,7.095157088965281,150.70908523432087,30.77798629740052,0.3179008191001021,0.9380991753949017,0.20191915647192224
Hexarotor,50.0,7.731631582087057,265.32011768678404,16.750405514877997,0.3330365497917896,0.5399743603987861,0.2823730901989143
QBiT,50.0,7.4751046353446915,175.4149386682028,29.730900321402558,0.29469555447226586,1.0305376268437945,0.1987674726047778
Hexarotor,60.0,8.599111145606589,347.3599304133563,16.779845525271774,0.3710538503965162,0.6016143444506675,0.2972705448042356
QBiT,60.0,7.862848978086566,200.99871395050937,28.920185166111594,0.28042119898060314,1.1229403164790945,0.19678703465073757
